YearPublished,MinPlayers,MaxPlayers,ComAgeRec,Kickstarted,AvgGameweight,ComAvgPlaytime,ComAvgPlaytime_log,PopularityScore,CategoryLabel,Rating
2014,2,4,8.0,0,1.94225,30.0,3.4339872044851463,0.3418467073536938,0,Low
2021,2,5,8.0,0,1.1128,17.5,2.917770732084279,0.2487700497301612,0,Medium
2020,1,5,12.0,0,3.74285,90.0,4.51085950651685,0.3713577846512098,0,High
2004,2,2,7.0,0,1.3646500000000001,20.0,3.044522437723423,0.26115366927927086,0,Low
2019,2,4,8.0,0,1.5615,17.5,2.917770732084279,0.2616909250509007,0,Medium
2015,3,5,8.0,0,1.6773500000000001,30.0,3.4339872044851463,0.33468689573132426,0,Low
2007,2,7,10.0,0,3.7982,37.5,3.6506582412937387,0.2868599324822924,3,High
2009,2,6,8.0,0,1.13925,90.0,4.51085950651685,0.16140305902992164,0,Low
1984,2,6,8.0,0,1.8019500000000002,90.0,4.51085950651685,0.35520747818116155,0,Low
2012,2,6,6.0,0,1.07345,5.0,1.791759469228055,0.15335635501387257,0,Medium
2011,2,6,10.0,0,1.7500499999999999,75.0,4.330733340286331,0.1579564200951372,0,Medium
2018,2,2,12.571428571428571,0,1.95945,30.0,3.4339872044851463,0.4771635774695892,3,Medium
2007,2,6,8.0,0,1.74755,37.5,3.6506582412937387,0.2920946766386537,0,Low
2004,3,6,12.0,0,2.10135,90.0,4.51085950651685,0.20143972915075142,0,Low
2003,2,4,5.555555555555555,0,1.60515,30.0,3.4339872044851463,0.48289054324273434,4,Low
2005,1,2,12.0,0,3.4364,240.0,5.484796933490655,0.2565614256061421,3,Medium
2017,2,4,8.0,0,2.4726999999999997,25.0,3.258096538021482,0.28684418173110804,0,Low
1988,1,4,6.0,0,1.47995,45.0,3.828641396489095,0.30524484742619656,8,Low
1981,2,2,4.0,0,1.4518499999999999,10.0,2.3978952727983707,0.27508046687608656,0,Low
2005,2,2,10.923076923076923,0,2.9097999999999997,60.0,4.110873864173311,0.5605313667208489,1,Medium
1997,2,4,13.333333333333334,0,2.85285,120.0,4.795790545596741,0.4158889429101566,1,Medium
2018,1,4,11.5,1,3.04985,75.0,4.330733340286331,0.6464391318397197,2,High
2012,2,4,7.0,0,1.31955,15.0,2.772588722239781,0.37613633442121097,0,Medium
2020,2,4,8.0,0,1.98725,37.5,3.6506582412937387,0.4135133340228553,0,High
2009,2,6,9.0,0,2.13205,30.0,3.4339872044851463,0.4263838340019229,3,High
1996,3,8,10.0,0,1.5582500000000001,30.0,3.4339872044851463,0.3743469645772349,0,Medium
2004,2,4,5.285714285714286,0,1.32045,20.0,3.044522437723423,0.4155890023158621,8,Medium
2016,2,5,6.0,0,1.139,22.5,3.1570004211501135,0.13171915090220643,0,Low
2019,1,5,12.428571428571429,0,2.56525,60.0,4.110873864173311,0.5270695987285493,2,High
1994,2,12,14.666666666666666,0,2.49045,45.0,3.828641396489095,0.32742151004757014,5,Low
1993,2,2,10.0,0,2.7378,60.0,4.110873864173311,0.246242664921867,2,High
2000,4,8,12.0,0,1.82695,45.0,3.828641396489095,0.21559631107974758,0,Low
2008,2,2,10.0,0,1.4235,15.0,2.772588722239781,0.2736733567150596,3,Low
2016,2,5,8.0,1,1.39325,20.0,3.044522437723423,0.34668831918505816,0,Medium
1987,2,4,8.0,0,1.1377000000000002,30.0,3.4339872044851463,0.20693969194847478,0,Low
2010,2,6,11.333333333333334,0,3.33545,90.0,4.51085950651685,0.4418120840770696,1,Medium
1978,2,2,15.333333333333334,0,3.9711999999999996,60.0,4.110873864173311,0.27593249230521927,3,Low
